DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-19,INR,72.7124
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-19,INR,61.15
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-19,INR,55.15
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-18,INR,45.53
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-18,INR,72.5566
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-18,INR,55.18
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-18,INR,60.62
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-17,INR,54.99
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-17,INR,60.73
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-17,INR,45.59
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-17,INR,72.3126
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-14,INR,60.4
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-14,INR,45.3
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-14,INR,71.7326
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-14,INR,54.84
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-13,INR,71.0549
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-13,INR,54.33
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-13,INR,59.1
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-13,INR,45.13
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-12,INR,45.16
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-12,INR,70.6438
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-12,INR,54.34
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-12,INR,58.68
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-11,INR,54.57
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-11,INR,45.32
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-11,INR,58.7
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-11,INR,70.5428
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-10,INR,54.68
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-10,INR,45.44
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-10,INR,70.6115
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-10,INR,58.63
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-07,INR,45.37
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-07,INR,58.93
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-07,INR,70.0377
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-07,INR,54.34
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-06,INR,70.2645
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-06,INR,54.48
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-06,INR,59.56
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-06,INR,45.31
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-05,INR,45.2
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-05,INR,59.99
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-05,INR,70.2724
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-05,INR,55.09
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-04,INR,54.56
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-04,INR,69.3249
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-04,INR,59.79
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-04,INR,44.84
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-03,INR,54.97
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-03,INR,44.67
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-03,INR,69.4484
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-03,INR,59.37
